epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,929.449,0.99918,0.63873,1.03843,0.84686,0.90243,0.92065,0.64636,1.0714,0.69074,1.09986,9.63548e-05,9.63548e-05,9.63548e-05
68,943.105,0.9679,0.63339,1.03096,0.88203,0.90389,0.92346,0.64632,1.05398,0.68084,1.09559,9.36026e-05,9.36026e-05,9.36026e-05
69,956.576,0.99545,0.63175,1.03463,0.80244,0.80908,0.84978,0.59333,1.06067,0.85045,1.103,9.08504e-05,9.08504e-05,9.08504e-05
70,969.958,0.9968,0.63287,1.04029,0.88749,0.9179,0.94067,0.66886,1.03931,0.62981,1.09274,8.80982e-05,8.80982e-05,8.80982e-05
71,983.523,0.98162,0.62121,1.02761,0.84193,0.85919,0.89074,0.62806,1.04353,0.74422,1.10123,8.5346e-05,8.5346e-05,8.5346e-05
72,996.943,0.95368,0.60074,1.02336,0.89101,0.90008,0.93049,0.65512,1.04718,0.65639,1.08915,8.25938e-05,8.25938e-05,8.25938e-05
73,1010.31,0.96617,0.6226,1.0215,0.85535,0.8721,0.91345,0.64814,1.03657,0.69697,1.09158,7.98416e-05,7.98416e-05,7.98416e-05
74,1023.71,0.95926,0.60199,1.01042,0.8665,0.90877,0.92692,0.65418,1.0483,0.66277,1.09718,7.70894e-05,7.70894e-05,7.70894e-05
75,1037.14,0.97256,0.60174,1.02054,0.86517,0.86197,0.90088,0.63148,1.06353,0.72239,1.09577,7.43372e-05,7.43372e-05,7.43372e-05
76,1050.44,0.97863,0.61431,1.02757,0.89358,0.85356,0.91646,0.6527,1.04784,0.6786,1.09692,7.1585e-05,7.1585e-05,7.1585e-05
77,1063.72,0.9557,0.60638,1.01953,0.83819,0.88033,0.90381,0.64464,1.03339,0.70348,1.08614,6.88328e-05,6.88328e-05,6.88328e-05
78,1076.96,0.97565,0.60127,1.02261,0.80926,0.81637,0.87495,0.62852,1.0341,0.77349,1.09314,6.60806e-05,6.60806e-05,6.60806e-05
79,1090.64,0.95782,0.58618,1.01781,0.85746,0.86615,0.90866,0.6471,1.04427,0.70637,1.09461,6.33284e-05,6.33284e-05,6.33284e-05
80,1103.84,0.94799,0.59543,1.01847,0.88409,0.89397,0.92733,0.66154,1.02468,0.66665,1.08602,6.05762e-05,6.05762e-05,6.05762e-05
81,1116.96,0.96368,0.60076,1.02334,0.87636,0.86217,0.906,0.64692,1.03222,0.70573,1.09552,5.7824e-05,5.7824e-05,5.7824e-05
82,1130.16,0.92587,0.57218,1.00483,0.87163,0.87375,0.92154,0.66048,1.0273,0.66981,1.08526,5.50718e-05,5.50718e-05,5.50718e-05
83,1143.42,0.94373,0.58905,1.01213,0.90798,0.88996,0.93451,0.66759,1.02352,0.63746,1.08357,5.23196e-05,5.23196e-05,5.23196e-05
84,1156.65,0.95333,0.59681,1.01666,0.87567,0.88196,0.92363,0.65662,1.04523,0.66689,1.09193,4.95674e-05,4.95674e-05,4.95674e-05
85,1169.96,0.94922,0.57753,1.01075,0.89043,0.88547,0.92168,0.65852,1.04134,0.66574,1.08837,4.68152e-05,4.68152e-05,4.68152e-05
86,1183.23,0.96424,0.58933,1.01999,0.89139,0.8817,0.92683,0.65895,1.04983,0.66691,1.08788,4.4063e-05,4.4063e-05,4.4063e-05
87,1196.35,0.93483,0.58612,1.01045,0.87612,0.88895,0.93052,0.66578,1.03921,0.65201,1.08667,4.13108e-05,4.13108e-05,4.13108e-05
88,1209.58,0.95129,0.5787,1.01265,0.88722,0.8699,0.9237,0.65762,1.03845,0.67596,1.09201,3.85586e-05,3.85586e-05,3.85586e-05
89,1222.87,0.94712,0.57269,1.01668,0.8908,0.87374,0.9198,0.65859,1.02782,0.6802,1.07873,3.58064e-05,3.58064e-05,3.58064e-05
90,1236.2,0.92238,0.56717,1.00493,0.87581,0.86263,0.91736,0.6536,1.03509,0.68884,1.08342,3.30542e-05,3.30542e-05,3.30542e-05
